District,Income,casenum,decnum,population,population_density,cum_inc,inc_perk,cfr,cfr_percent,Cumulative Incidence Rate_percentage,mdt,Average Age,aht,income_trans,population_density_1000,adt,Average Patient Age
Central and Western,45040,337,2,235953,18808,0.001428251,1.428250541,0.005934718,0.59347181,0.142825054,3,44.8,15.23,45.04,18.808,4.83,40.83
Eastern,32000,451,10,529603,29440,0.000851581,0.851581279,0.022172949,2.2172949,0.085158128,4,49,17.06,32,29.44,4.68,49.29
Islands,28960,146,2,185282,1021,0.000787988,0.78798804,0.01369863,1.369863014,0.078798804,4,42.7,17.6,28.96,1.021,5.05,43.07
Kowloon City,30010,614,15,410634,40994,0.001495249,1.49524881,0.024429967,2.442996743,0.149524881,4,45.4,16.88,30.01,40.994,4.9,46.84
Kwai Tsing,23740,444,5,495798,21246,0.000895526,0.895526001,0.011261261,1.126126126,0.0895526,4,48,16.7,23.74,21.246,4.89,45.62
Kwun Tong,22000,690,17,673166,59704,0.001025007,1.025007205,0.024637681,2.463768116,0.10250072,4,48,15.61,22,59.704,5.24,48.51
North,23580,182,5,309631,2269,0.000587796,0.587796442,0.027472527,2.747252747,0.058779644,4,46.3,16.73,23.58,2.269,5.3,47.8
Sai Kung,37840,348,1,489037,3771,0.000711603,0.711602599,0.002873563,0.287356322,0.07116026,4,44.7,15.78,37.84,3.771,5.1,44.03
Sha Tin,28870,503,6,692806,10082,0.000726033,0.726032973,0.011928429,1.192842942,0.072603297,4,46.2,14.7,28.87,10.082,4.75,46.83
Sham Shui Po,21490,518,20,431090,46067,0.001201605,1.201605233,0.038610039,3.861003861,0.120160523,4,46.2,17.5,21.49,46.067,4.67,48.23
Southern,32440,189,1,263278,6779,0.000717872,0.717872363,0.005291005,0.529100529,0.071787236,3,48.1,15.51,32.44,6.779,4.59,44.09
Tai Po,30000,219,1,316470,2325,0.000692009,0.692008721,0.00456621,0.456621005,0.069200872,4,45.7,16.84,30,2.325,5.13,46.82
Tsuen Wan,32040,229,4,320094,5168,0.000715415,0.715414847,0.017467249,1.746724891,0.071541485,4,45.4,17.02,32.04,5.168,4.58,46.07
Tuen Mun,25040,388,16,506879,5908,0.000765469,0.765468682,0.041237113,4.12371134,0.076546868,4,46.1,16.27,25.04,5.908,4.79,49.42
Wan Chai,45000,244,3,166695,15791,0.001463751,1.463751162,0.012295082,1.229508197,0.146375116,4,46,19.43,45,15.791,5.02,43.13
Wong Tai Sin,23520,713,27,406802,43730,0.001752695,1.752695414,0.037868163,3.786816269,0.175269541,4,50.1,18.01,23.52,43.73,4.75,50.75
Yau Tsim Mong,26080,697,8,310647,44458,0.002243704,2.243704269,0.011477762,1.147776184,0.224370427,3,44,16.5,26.08,44.458,4.34,43.06
Yuen Long,27560,494,7,668080,4825,0.000739432,0.739432403,0.01417004,1.417004049,0.07394324,4,43.7,15.36,27.56,4.825,4.86,43.9
